id,num_orders
1028232,113
1127204,150
1212707,210
1082698,48
1400926,38
1284113,208
1197966,278
1132739,223
1057981,111
1095932,122
1454421,113
1149765,234
1166964,433
1010949,273
1409575,18
1181616,31
1456020,338
1264395,144
1472931,99
1412015,72
1461229,151
1014564,147
1485914,139
1345389,175
1006833,214
1174921,36
1175393,18
1152412,25
1497398,25
1363486,25
1366766,29
1192413,26
1319547,353
1337684,57
1479766,227
1460444,1582
1139730,872
1115056,442
1335827,110
1385333,735
1096323,851
1230693,1078
1027016,146
1181520,90
1306234,172
1271440,957
1269834,520
1176823,686
1193098,98
1034878,87
1010243,179
1451807,134
1016845,142
1198021,138
1413802,72
1231223,113
1274226,694
1425142,400
1211593,268
1419190,45
1180223,61
1194932,134
1323477,255
1371595,190
1171521,180
1052384,188
1060921,111
1261811,230
1246502,380
1497466,533
1232717,50
1136112,49
1196334,396
1349533,311
1463406,291
1447686,213
1336105,107
1012855,674
1180646,441
1062490,223
1098228,1483
1101375,876
1400016,573
1439889,64
1408468,79
1044490,76
1290002,545
1190633,700
1040430,1109
1049366,129
1224120,129
1293810,191
1197335,914
1323989,646
1129467,828
1229328,56
1164395,62
1217722,65
1171266,129
1024905,87
1343027,175
1141892,67
1302404,82
1170447,683
1140772,468
1103484,293
1387134,28
1117711,21
1472121,32
1289523,449
1091114,518
1043572,526
1103283,132
1265051,105
1168741,78
1052776,188
1206564,253
1302153,475
1083754,40
1097952,28
1251605,30
1333032,934
1086936,300
1088412,203
1236400,51
1244516,72
1380381,68
1495062,565
1439647,252
1019214,317
1316160,654
1022008,576
1138248,221
1052922,35
1181474,56
1046475,56
1216688,313
1067565,579
1008328,406
1430287,153
1406716,188
1105380,163
1248694,577
1252163,281
1443474,368
1033716,56
1300295,53
1311882,50
1257968,66
1226362,152
1030655,131
1210527,76
1278927,43
1232239,61
1133067,362
1382522,456
1219136,279
1498130,25
1251629,41
1032092,27
1249865,165
1207630,219
1144733,206
1436768,46
1148964,41
1237346,176
1206015,69
1105113,230
1430481,35
1001589,67
1224132,59
1074380,397
1097109,353
1211246,220
1390579,338
1473058,323
1186964,118
1222837,34
1342393,42
1170472,196
1170791,313
1046653,274
1195179,151
1332509,146
1438300,144
1435748,1235
1052668,280
1227060,368
1342252,77
1143109,57
1394807,55
1448374,66
1028680,135
1079691,97
1402079,47
1424446,67
1133297,351
1076214,548
1173823,318
1488584,20
1072892,31
1277491,24
1290868,239
1048888,234
1138141,281
1473125,57
1196726,31
1179278,29
1282305,102
1359903,77
1355143,139
1095889,40
1250665,119
1426610,68
1390104,484
1051519,423
